Fan Power ,Compressor Power ,Battery Current ,Battery Voltage ,Battery Backup Time,IT_Load, Phase Output Load Percentage,UPS Efficiency ,Accessory Load ,UPS_loose,Outdoor Temperature,Outdoor Relative humidity ,Relative Humidity  Setpoint ,Upper_RH recomm,Lower_RH recomm,IT Room humidity ,Upper_Temp recomm,Lower_Temp recomm,Temperature  Set point ,IT Room temperature ,Battery Temperature,Total_IN,PUE
710.98,2892.80,0.10,427.01,821.45,4899.2,46.30,83.76,1777.66,950.20,16.38,80.38,45,55.00,40.00,47.50,27.00,18.00,20,21.90,22.36,5849.40,29
789.03,2792.31,0.10,427.05,818.64,4923.1,46.45,83.61,1162.02,964.97,16.00,80.25,45,55.00,40.00,43.70,27.00,18.00,20,21.80,21.45,5888.07,16
728.09,2740.35,0.10,427.04,818.23,4924,46.46,83.74,1157.88,956.16,17.38,74.25,45,55.00,40.00,41.60,27.00,18.00,20,21.70,22.34,5880.16,13
739.87,2730.09,0.10,426.99,821.64,4902.7,46.28,83.66,1131.92,957.49,14.88,81.25,45,55.00,40.00,38.30,27.00,18.00,20,22.30,23.74,5860.19,13
788.37,2691.76,0.10,427.07,821.60,4902.3,46.28,83.72,1191.01,953.08,14.88,75.25,45,55.00,40.00,44.30,27.00,18.00,20,21.60,24.54,5855.38,15
714.76,2864.84,0.10,427.07,819.88,4909.9,46.37,83.63,1183.60,961.02,16.75,76.25,45,55.00,40.00,45.60,27.00,18.00,20,22.40,23.50,5870.92,17
712.85,2794.90,0.10,427.07,820.85,4906.5,46.32,83.67,1189.07,957.74,16.75,76.63,45,55.00,40.00,46.50,27.00,18.00,20,21.60,23.50,5864.24,15
721.50,2885.44,0.10,427.05,819.28,4916,46.40,84.01,1154.78,935.81,17.00,81.00,45,55.00,40.00,47.50,27.00,18.00,20,21.90,22.36,5851.81,16
790.93,2797.31,0.10,427.02,807.85,4960.13,47.00,85.67,1167.49,829.87,16.25,80.75,45,55.00,40.00,42.00,27.00,18.00,20,20.00,23.56,5790.00,13
730.78,2742.23,0.10,427.01,806.77,4950.39,47.04,85.23,1163.02,857.58,16.13,79.50,45,55.00,40.00,42.40,27.00,18.00,20,22.00,23.95,5807.97,11
743.12,2733.00,0.10,427.05,805.68,4969.47,47.11,85.67,1164.31,830.92,15.75,80.13,45,55.00,40.00,41.80,27.00,18.00,20,19.90,22.84,5800.39,10
789.56,2695.43,0.10,427.00,811.08,4960.27,46.82,86.15,1164.54,797.45,16.63,78.50,45,55.00,40.00,43.80,27.00,18.00,20,20.20,23.54,5757.72,10
724.66,2824.94,0.10,427.00,820.42,4908.9,46.35,85.12,1163.46,857.88,16.75,77.25,45,55.00,40.00,43.00,27.00,18.00,20,22.00,22.70,5766.78,13
717.05,2695.76,0.10,427.02,820.10,4911.1,46.38,85.02,1164.40,865.18,15.38,80.25,45,55.00,40.00,43.50,27.00,18.00,20,20.10,21.80,5776.28,11
722.65,2890.04,0.10,427.06,819.89,4913.3,46.38,85.27,1163.62,849.04,16.25,75.38,45,55.00,40.00,44.30,27.00,18.00,20,22.00,22.90,5762.34,14
791.97,2787.57,0.10,426.97,823.24,4891.8,46.20,83.75,1166.86,949.09,16.63,75.13,45,55.00,40.00,44.40,27.00,18.00,20,19.60,22.78,5840.89,16
728.95,2741.73,0.10,427.03,819.83,4915.4,46.38,84.45,1165.43,904.79,15.25,78.63,45,55.00,40.00,44.90,27.00,18.00,20,19.60,21.05,5820.19,13
744.62,2735.86,0.10,427.01,820.42,4908.6,46.34,83.60,1164.85,962.66,15.38,80.88,45,55.00,40.00,46.00,27.00,18.00,20,21.20,22.79,5871.26,1
790.36,2696.72,0.10,427.02,819.86,4913.3,46.39,83.63,1165.15,962.03,15.75,79.25,45,55.00,40.00,45.60,27.00,18.00,20,22.20,22.45,5875.33,14
729.76,2826.04,0.10,426.99,819.20,4919.5,45.11,83.72,1166.87,956.75,15.38,78.63,45,55.00,40.00,45.60,27.00,18.00,20,19.70,21.80,5876.25,15
727.65,2684.06,0.10,426.94,820.78,4906.7,46.34,83.60,1162.88,962.53,15.50,75.13,45,55.00,40.00,39.30,27.00,18.00,20,22.80,22.34,5869.23,13
723.45,2891.98,0.10,426.97,820.07,4907.3,46.37,83.56,1164.58,965.47,16.13,72.00,45,55.00,40.00,44.20,27.00,18.00,20,21.10,22.21,5872.77,17
789.00,2790.77,0.10,427.06,918.93,4381.5,41.72,82.39,1165.80,936.82,16.00,69.25,45,55.00,40.00,44.20,27.00,18.00,20,22.80,23.88,5318.32,30
727.05,2760.31,0.10,427.02,917.05,4391.5,41.81,82.43,1166.41,935.93,16.00,76.50,45,55.00,40.00,46.80,27.00,18.00,20,19.10,20.75,5327.43,27
745.72,2737.66,0.10,427.07,919.08,4382.5,41.72,82.68,1164.79,918.30,15.00,85.00,45,55.00,40.00,45.90,27.00,18.00,20,21.40,23.09,5300.80,27
791.76,2697.72,0.10,427.04,918.97,4383.5,41.74,82.58,1159.28,924.71,15.50,80.00,45,55.00,40.00,45.50,27.00,18.00,20,21.70,22.00,5308.21,27
